,atb_key,atb_family,atb_subfamily
1,amoxicilline_ampicilline,b-lactamine,penicillines
2,amoxicilline_acide_clavulanique,b-lactamine,penicillines
3,amoxicilline,b-lactamine,penicillines
4,ampicilline,b-lactamine,penicillines
5,piperacilline_tazobactam,b-lactamine,penicillines
6,piperacilline,b-lactamine,penicillines
7,ticarcilline,b-lactamine,penicillines
8,temocilline,b-lactamine,penicillines
9,mecillinam,b-lactamine,penicillines
10,penicilline_g,b-lactamine,penicillines
11,oxacilline,b-lactamine,penicillines
12,cefalotine,b-lactamine,cephalosporines (1re generation)
13,cefalexine,b-lactamine,cephalosporines (1re generation)
14,cefuroxime,b-lactamine,cephalosporines (2e generation)
15,cefixime,b-lactamine,cephalosporines (3e generation
17,cefoxitine,b-lactamine,cephamycines (souvent rangee 2e generation)
18,cefotaxime,b-lactamine,cephalosporine_3_gen
19,ceftriaxone,b-lactamine,cephalosporine_3_gen
20,ceftazidime_avibactam,b-lactamine,cephalosporine (3e generation) + inhibiteur de b-lactamase
21,ceftazidime,b-lactamine,cephalosporine_3_gen
23,cefepime,b-lactamine,cephalosporine_4_gen
24,ceftolozane_tazobactam,b-lactamine,cephalosporine + inhibiteur de b-lactamase
25,ceftaroline,b-lactamine,cephalosporine_5_gen
26,ceftobiprole,b-lactamine,cephalosporine_5_gen
27,cefiderocol,b-lactamine,cephalosporine siderophore
28,ertapeneme,b-lactamine,carbapenemes
29,imipeneme_relebactam,b-lactamine,carbapeneme + inhibiteur de b-lactamase
30,imipeneme,b-lactamine,carbapenemes
31,meropeneme_vaborbactam,b-lactamine,carbapeneme + inhibiteur de b-lactamase
32,meropeneme,b-lactamine,carbapenemes
33,aztreonam,b-lactamine,monobactames
34,gentamicine,Aminosides,aminosides
35,amikacine,Aminosides,aminosides
36,tobramycine,Aminosides,aminosides
37,netilmicine,Aminosides,aminosides
38,kanamycine,Aminosides,aminosides
39,ciprofloxacine,Quinolones,fluoroquinolones
40,levofloxacine,Quinolones,fluoroquinolones
41,ofloxacine,Quinolones,fluoroquinolones
42,moxifloxacine,Quinolones,fluoroquinolones
43,norfloxacine,Quinolones,fluoroquinolones
44,delafloxacine,Quinolones,fluoroquinolones
45,acide_nalidixique,Quinolones,quinolone (ancienne generation)
46,nitrofurantoine,Nitrofuranes,nitrofurane
47,fosfomycine_iv,Dérivés de l’acide phosphonique,fosfomycine (iv)
48,fosfomycine_trometamol,Dérivés de l’acide phosphonique,fosfomycine (trometamol
50,trimethoprime_sulfamethoxazole,Antifolates,trimethoprime + sulfamide (cotrimoxazole)
51,trimethoprime,Antifolates,trimethoprime
52,clindamycine,Lincosamides,lincosamide
53,erythromycine,Macrolides,macrolide
54,azithromycine,Macrolides,macrolide
55,clarithromycine,Macrolides,macrolide
56,tetracycline,Tétracyclines,tetracycline
57,doxycycline,Tétracyclines,tetracycline
58,minocycline,Tétracyclines,tetracycline
59,rifampicine,Rifamycines,rifamycine
60,acide_fusidique,Autres antibactériens,acide fusidique
61,chloramphenicol,Phénicolés,phenicole
62,linezolide,Oxazolidinones,oxazolidinone
63,daptomycine,Lipopeptides,lipopeptide
64,pristinamycine,Streptogramines,streptogramine
65,quinupristine_dalfopristine,Streptogramines,streptogramine
66,metronidazole,Nitroimidazoles,nitroimidazole
67,tigecycline,Glycylcyclines,glycylcycline
68,colistine,Polymyxines,polymyxine
69,vancomycine,Glycopeptides,glycopeptide
70,teicoplanine,Glycopeptides,glycopeptide
71,dalbavancine,Lipoglycopeptides,lipoglycopeptide
72,lincomycine,Lincosamides,lincosamide
,,,
