"bact_norm","atb_norm"
"acinetobacter_baumannii","amikacine"
"acinetobacter_baumannii","cefepime"
"acinetobacter_baumannii","ceftazidime"
"acinetobacter_baumannii","ciprofloxacine"
"acinetobacter_baumannii","imipeneme"
"acinetobacter_baumannii","meropeneme"
"acinetobacter_baumannii","piperacilline_tazobactam"
"acinetobacter_baumannii","ticarcilline"
"enterobacter_cloacae_complex","amikacine"
"enterobacter_cloacae_complex","amoxicilline_ampicilline"
"enterobacter_cloacae_complex","cefepime"
"enterobacter_cloacae_complex","cefotaxime"
"enterobacter_cloacae_complex","ceftazidime"
"enterobacter_cloacae_complex","ceftriaxone"
"enterobacter_cloacae_complex","ciprofloxacine"
"enterobacter_cloacae_complex","ertapeneme"
"enterobacter_cloacae_complex","fosfomycine_iv"
"enterobacter_cloacae_complex","fosfomycine_trometamol"
"enterobacter_cloacae_complex","gentamicine"
"enterobacter_cloacae_complex","imipeneme"
"enterobacter_cloacae_complex","levofloxacine"
"enterobacter_cloacae_complex","mecillinam"
"enterobacter_cloacae_complex","meropeneme"
"enterobacter_cloacae_complex","moxifloxacine"
"enterobacter_cloacae_complex","nitrofurantoine"
"enterobacter_cloacae_complex","ofloxacine"
"enterobacter_cloacae_complex","piperacilline_tazobactam"
"enterobacter_cloacae_complex","trimethoprime_sulfamethoxazole"
"enterococcus_faecalis","amoxicilline_ampicilline"
"enterococcus_faecalis","nitrofurantoine"
"enterococcus_faecalis","teicoplanine"
"enterococcus_faecalis","vancomycine"
"enterococcus_faecium","amoxicilline_ampicilline"
"enterococcus_faecium","daptomycine"
"enterococcus_faecium","linezolide"
"enterococcus_faecium","nitrofurantoine"
"enterococcus_faecium","teicoplanine"
"enterococcus_faecium","vancomycine"
"escherichia_coli","amikacine"
"escherichia_coli","amoxicilline_acide_clavulanique"
"escherichia_coli","amoxicilline_ampicilline"
"escherichia_coli","cefepime"
"escherichia_coli","cefotaxime"
"escherichia_coli","ceftazidime"
"escherichia_coli","ceftriaxone"
"escherichia_coli","ciprofloxacine"
"escherichia_coli","ertapeneme"
"escherichia_coli","fosfomycine_iv"
"escherichia_coli","fosfomycine_trometamol"
"escherichia_coli","gentamicine"
"escherichia_coli","imipeneme"
"escherichia_coli","levofloxacine"
"escherichia_coli","mecillinam"
"escherichia_coli","meropeneme"
"escherichia_coli","moxifloxacine"
"escherichia_coli","nitrofurantoine"
"escherichia_coli","ofloxacine"
"escherichia_coli","piperacilline_tazobactam"
"escherichia_coli","trimethoprime_sulfamethoxazole"
"klebsiella_pneumoniae","amikacine"
"klebsiella_pneumoniae","amoxicilline_acide_clavulanique"
"klebsiella_pneumoniae","amoxicilline_ampicilline"
"klebsiella_pneumoniae","cefepime"
"klebsiella_pneumoniae","cefotaxime"
"klebsiella_pneumoniae","ceftazidime"
"klebsiella_pneumoniae","ceftriaxone"
"klebsiella_pneumoniae","ciprofloxacine"
"klebsiella_pneumoniae","ertapeneme"
"klebsiella_pneumoniae","fosfomycine_iv"
"klebsiella_pneumoniae","fosfomycine_trometamol"
"klebsiella_pneumoniae","gentamicine"
"klebsiella_pneumoniae","imipeneme"
"klebsiella_pneumoniae","levofloxacine"
"klebsiella_pneumoniae","mecillinam"
"klebsiella_pneumoniae","meropeneme"
"klebsiella_pneumoniae","moxifloxacine"
"klebsiella_pneumoniae","nitrofurantoine"
"klebsiella_pneumoniae","ofloxacine"
"klebsiella_pneumoniae","piperacilline_tazobactam"
"klebsiella_pneumoniae","trimethoprime_sulfamethoxazole"
"pseudomonas_aeruginosa","amikacine"
"pseudomonas_aeruginosa","cefepime"
"pseudomonas_aeruginosa","ceftazidime"
"pseudomonas_aeruginosa","ciprofloxacine"
"pseudomonas_aeruginosa","imipeneme"
"pseudomonas_aeruginosa","meropeneme"
"pseudomonas_aeruginosa","piperacilline_tazobactam"
"pseudomonas_aeruginosa","ticarcilline"
"staphylococcus_aureus","acide_fusidique"
"staphylococcus_aureus","cefoxitine"
"staphylococcus_aureus","ciprofloxacine"
"staphylococcus_aureus","daptomycine"
"staphylococcus_aureus","erythromycine"
"staphylococcus_aureus","fosfomycine_iv"
"staphylococcus_aureus","fosfomycine_trometamol"
"staphylococcus_aureus","gentamicine"
"staphylococcus_aureus","kanamycine"
"staphylococcus_aureus","levofloxacine"
"staphylococcus_aureus","linezolide"
"staphylococcus_aureus","moxifloxacine"
"staphylococcus_aureus","ofloxacine"
"staphylococcus_aureus","oxacilline"
"staphylococcus_aureus","pristinamycine"
"staphylococcus_aureus","rifampicine"
"staphylococcus_aureus","tetracycline"
"staphylococcus_aureus","tobramycine"
"staphylococcus_aureus","trimethoprime_sulfamethoxazole"
"staphylococcus_aureus","vancomycine"
